,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,DOB,GENDER,ID,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE
34,4.816,HITCH,"/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/","/RB, GB/, /RB, GB/, /RB, GB/, /RB, GB/",7/13/14,FEMALE,4.0,15,7,1,left,B
35,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,0,0,0,left,R
36,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,1,1,0,right,G
37,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,2,2,0,left,R
38,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,3,3,0,right,G
39,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,4,4,0,right,G
40,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,5,5,0,left,R
41,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,6,6,0,left,R
42,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,7,6,1,left,R
43,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,8,6,0,right,G
44,3.05,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, /G, R/, mRR/GG",4/18/16,MALE,7.0,9,6,1,right,G
45,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,0,0,0,right,R
46,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,1,1,0,left,R
47,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,2,1,1,left,G
48,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,3,2,0,left,G
49,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,4,3,0,right,R
50,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,5,4,0,left,G
51,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,6,5,0,right,R
52,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,7,5,1,right,R
53,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,8,6,0,left,G
54,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,9,6,1,left,G
55,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,10,6,0,right,R
56,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,11,6,1,right,R
57,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,12,6,2,right,R
58,3.05,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, mRG/, G/, /mR, G/, /RR, mGG/RRR, G/",4/18/16,MALE,7.0,13,7,0,left,G
59,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,0,0,0,left,B
60,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,1,1,0,right,B
61,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,2,2,0,left,B
62,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,3,3,0,left,B
63,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,4,4,0,left,B
64,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,5,5,0,left,B
65,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,6,5,1,left,B
66,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,7,5,2,left,B
67,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,8,5,3,left,B
68,3.05,HITCH,"GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","B/, /B, B/, B/, B/, mBBBB/, mB/",4/18/16,MALE,7.0,9,6,0,left,B
69,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,0,0,0,right,G
70,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,1,1,0,left,R
71,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,2,2,0,left,R
72,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,3,2,0,right,G
73,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,4,3,0,left,R
74,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,5,4,0,left,R
75,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,6,4,1,left,R
76,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,7,5,0,left,R
77,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,8,5,1,left,R
78,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,9,6,0,right,G
79,5.268,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, RGc/, R/, RR/, RR/, /GG",1/29/14,MALE,8.0,10,6,1,right,G
80,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,0,0,0,left,R
81,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,1,1,0,left,R
82,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,2,2,0,right,G
83,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,3,3,0,left,R
84,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,4,4,0,right,G
85,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,5,4,1,right,G
86,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,6,5,0,left,R
87,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,7,5,1,left,R
88,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,8,5,2,left,R
89,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,9,6,0,right,G
90,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,10,6,1,right,G
91,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,11,7,0,left,R
92,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,12,7,1,left,R
93,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,13,8,0,left,R
94,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,14,9,0,left,R
95,5.268,DOUBLE,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /G, R/, /GG, mRRR/, /GG, RR/, R/, RR/",1/29/14,MALE,8.0,15,9,1,left,R
96,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,0,0,0,left,R
97,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,1,0,1,left,B
98,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,2,1,0,right,G
99,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,3,1,1,right,B
100,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,4,2,0,left,R
101,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,5,2,1,left,B
102,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,6,3,0,right,G
103,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,7,3,1,right,B
104,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,8,4,0,left,R
105,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,9,4,1,left,B
106,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,10,5,0,right,G
107,5.268,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB",1/29/14,MALE,8.0,11,5,1,right,B
108,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,0,0,0,left,R
109,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,1,0,1,left,R
110,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,2,0,2,left,R
111,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,3,0,3,left,R
112,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,4,0,0,right,R
113,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,5,1,0,left,R
114,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,6,2,0,left,G
115,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,7,2,0,right,M
116,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,8,2,1,right,R
117,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,9,3,0,left,R
118,3.543,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","RRRcRRb/, R/, /MRGc, R/, /G ",10/21/15,FEMALE,10.0,10,4,0,right,G
119,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,0,0,0,right,R
120,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,1,0,1,right,R
121,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,2,0,2,right,G
122,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,3,1,0,left,G
123,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,4,2,0,right,R
124,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,5,3,0,right,G
125,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,6,3,1,right,G
126,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,7,4,0,left,R
127,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,8,5,0,left,R
128,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,9,6,0,left,R
129,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,10,6,0,right,R
130,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,11,7,0,right,R
131,3.543,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","/mRRG, G/, /R, /GG, R/, R/, /RRc, /RR",10/21/15,FEMALE,10.0,12,7,1,right,R
132,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,0,0,0,left,G
133,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,1,0,1,left,B
134,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,2,1,0,left,R
135,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,3,1,1,left,B
136,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,4,2,0,left,B
137,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,5,2,1,left,R
138,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,6,2,2,left,R
139,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,7,3,0,left,R
140,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,8,3,0,right,G
141,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,9,4,0,left,R
142,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,10,5,0,left,G
143,3.543,HITCH,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","GB/, RB/, BRR/, R/G, mR/, GB/",10/21/15,FEMALE,10.0,11,5,1,left,B
144,5.41,SORT,"G/, /R, G/, /R, G/, /R, G/, /R","G/, /R, G/, /R, G/, /R, G/, /R,  G/, /R, G/, /R, G/, /R, G/, /R",12/8/13,FEMALE,13.0,0,0,0,left,G
