,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,KNOWERLEV,GENDER,ID,PASS_SORT,PASS_DOUBLE,PASS_HITCH,PASS_SORT_1,PASS_DOUBLE_1,PASS_HITCH_1,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE
66,,double,,,,,76.0,,,,,,,13,9,0,left,red
67,,double,,,,,76.0,,,,,,,14,10,0,right,blue
68,,double,,,,,76.0,,,,,,,15,10,1,right,blue
69,,hitch,,,,,76.0,,,,,,,1,1,0,left,red
70,,hitch,,,,,76.0,,,,,,,2,1,1,left,black
71,,hitch,,,,,76.0,,,,,,,3,2,0,right,blue
72,,hitch,,,,,76.0,,,,,,,4,2,1,right,black
73,,hitch,,,,,76.0,,,,,,,5,3,0,left,red
74,,hitch,,,,,76.0,,,,,,,6,3,1,left,black
75,,hitch,,,,,76.0,,,,,,,7,4,0,right,blue
76,,hitch,,,,,76.0,,,,,,,8,4,1,right,black
77,,hitch,,,,,76.0,,,,,,,9,5,0,left,red
78,,hitch,,,,,76.0,,,,,,,10,5,1,left,black
79,,hitch,,,,,76.0,,,,,,,11,6,0,right,blue
80,,hitch,,,,,76.0,,,,,,,12,6,1,right,black
81,,hitch,,,,,76.0,,,,,,,13,7,0,left,red
82,,hitch,,,,,76.0,,,,,,,14,7,1,left,black
83,,hitch,,,,,76.0,,,,,,,15,8,0,right,blue
84,,hitch,,,,,76.0,,,,,,,16,8,1,right,black
85,,hitch,,,,,76.0,,,,,,,17,9,0,left,red
86,,hitch,,,,,76.0,,,,,,,18,9,1,left,black
87,,hitch,,,,,76.0,,,,,,,19,10,0,right,blue
88,,hitch,,,,,76.0,,,,,,,20,10,1,right,black
89,,hitch,,,,,76.0,,,,,,,21,11,0,left,red
90,,hitch,,,,,76.0,,,,,,,22,11,1,left,black
91,,hitch,,,,,76.0,,,,,,,23,12,0,right,blue
92,,hitch,,,,,76.0,,,,,,,24,12,1,right,black
93,,sort,,,,,78.0,,,,,,,1,1,0,left,red
94,,sort,,,,,78.0,,,,,,,2,2,0,right,blue
95,,sort,,,,,78.0,,,,,,,3,3,0,left,red
96,,sort,,,,,78.0,,,,,,,4,4,0,right,blue
97,,sort,,,,,78.0,,,,,,,5,5,0,left,red
98,,sort,,,,,78.0,,,,,,,6,6,0,right,blue
99,,sort,,,,,78.0,,,,,,,7,7,0,left,red
100,,sort,,,,,78.0,,,,,,,8,8,0,right,blue
101,,sort,,,,,78.0,,,,,,,9,9,0,left,red
102,,sort,,,,,78.0,,,,,,,10,10,0,right,blue
103,,sort,,,,,78.0,,,,,,,11,11,0,left,red
104,,sort,,,,,78.0,,,,,,,12,12,0,right,blue
105,,double,,,,,78.0,,,,,,,1,1,0,left,red
106,,double,,,,,78.0,,,,,,,2,2,0,right,blue
107,,double,,,,,78.0,,,,,,,3,2,1,right,blue
108,,double,,,,,78.0,,,,,,,4,3,0,left,red
109,,double,,,,,78.0,,,,,,,5,4,0,right,blue
110,,double,,,,,78.0,,,,,,,6,4,1,right,blue
111,,double,,,,,78.0,,,,,,,7,5,0,left,red
112,,double,,,,,78.0,,,,,,,8,6,0,right,blue
113,,double,,,,,78.0,,,,,,,9,6,1,right,blue
114,,double,,,,,78.0,,,,,,,10,7,0,left,red
115,,double,,,,,78.0,,,,,,,11,8,0,right,blue
116,,double,,,,,78.0,,,,,,,12,8,1,right,blue
117,,hitch,,,,,78.0,,,,,,,1,1,0,left,red
118,,hitch,,,,,78.0,,,,,,,2,1,1,left,black
119,,hitch,,,,,78.0,,,,,,,3,2,0,right,blue
120,,hitch,,,,,78.0,,,,,,,4,2,1,right,black
121,,hitch,,,,,78.0,,,,,,,5,3,0,left,red
122,,hitch,,,,,78.0,,,,,,,6,3,1,left,black
123,,hitch,,,,,78.0,,,,,,,7,4,0,left,blue
124,,hitch,,,,,78.0,,,,,,,8,4,1,left,black
125,,hitch,,,,,78.0,,,,,,,9,5,0,right,blue
126,,hitch,,,,,78.0,,,,,,,10,5,1,right,black
127,,hitch,,,,,78.0,,,,,,,11,6,0,left,red
128,,hitch,,,,,78.0,,,,,,,12,6,1,left,black
129,,hitch,,,,,78.0,,,,,,,13,7,0,right,blue
130,,hitch,,,,,78.0,,,,,,,14,7,1,right,black
131,,hitch,,,,,78.0,,,,,,,15,8,0,left,red
132,,hitch,,,,,78.0,,,,,,,16,8,1,left,black
133,,hitch,,,,,78.0,,,,,,,17,9,0,right,blue
134,,hitch,,,,,78.0,,,,,,,18,9,1,right,black
135,,sort,,,,,80.0,,,,,,,1,1,0,right,blue
136,,sort,,,,,80.0,,,,,,,2,2,0,left,red
137,,sort,,,,,80.0,,,,,,,3,3,0,right,blue
138,,sort,,,,,80.0,,,,,,,4,4,0,left,red
139,,sort,,,,,80.0,,,,,,,5,5,0,left,red
140,,sort,,,,,80.0,,,,,,,6,6,0,right,blue
141,,sort,,,,,80.0,,,,,,,7,7,0,left,red
142,,sort,,,,,80.0,,,,,,,8,7,1,left,red
143,,sort,,,,,80.0,,,,,,,9,8,0,right,blue
144,,sort,,,,,80.0,,,,,,,10,8,1,right,blue
145,,sort,,,,,80.0,,,,,,,11,9,0,left,red
146,,sort,,,,,80.0,,,,,,,12,10,0,right,blue
147,,sort,,,,,80.0,,,,,,,13,11,0,left,red
148,,sort,,,,,80.0,,,,,,,14,12,0,right,blue
149,,sort,,,,,80.0,,,,,,,15,13,0,left,red
150,,sort,,,,,80.0,,,,,,,16,14,0,right,blue
151,,double,,,,,80.0,,,,,,,1,1,0,left,red
152,,double,,,,,80.0,,,,,,,2,2,0,right,blue
153,,double,,,,,80.0,,,,,,,3,3,0,right,blue
154,,double,,,,,80.0,,,,,,,4,3,1,right,blue
155,,double,,,,,80.0,,,,,,,5,4,0,left,red
156,,double,,,,,80.0,,,,,,,6,5,0,right,blue
157,,double,,,,,80.0,,,,,,,7,5,1,right,blue
158,,double,,,,,80.0,,,,,,,8,6,0,left,red
159,,double,,,,,80.0,,,,,,,9,7,0,right,blue
160,,double,,,,,80.0,,,,,,,10,7,1,right,blue
161,,double,,,,,80.0,,,,,,,11,8,0,left,red
162,,double,,,,,80.0,,,,,,,12,9,0,right,blue
163,,double,,,,,80.0,,,,,,,13,9,1,right,blue
164,,double,,,,,80.0,,,,,,,14,10,0,left,red
165,,double,,,,,80.0,,,,,,,15,11,0,right,blue
166,,double,,,,,80.0,,,,,,,16,11,1,right,blue
167,,hitch,,,,,80.0,,,,,,,1,1,0,left,red
168,,hitch,,,,,80.0,,,,,,,2,1,1,left,black
169,,hitch,,,,,80.0,,,,,,,3,2,0,right,blue
170,,hitch,,,,,80.0,,,,,,,4,2,1,right,black
171,,hitch,,,,,80.0,,,,,,,5,3,0,left,red
172,,hitch,,,,,80.0,,,,,,,6,3,1,left,black
173,,hitch,,,,,80.0,,,,,,,7,4,0,right,blue
174,,hitch,,,,,80.0,,,,,,,8,4,1,right,black
175,,hitch,,,,,80.0,,,,,,,9,5,0,left,red
176,,hitch,,,,,80.0,,,,,,,10,5,1,left,black
177,,hitch,,,,,80.0,,,,,,,11,6,0,right,blue
178,,hitch,,,,,80.0,,,,,,,12,6,1,right,black
179,,hitch,,,,,80.0,,,,,,,13,7,0,left,red
180,,hitch,,,,,80.0,,,,,,,14,7,1,left,black
181,,hitch,,,,,80.0,,,,,,,15,8,0,right,blue
182,,hitch,,,,,80.0,,,,,,,16,8,1,right,black
183,,hitch,,,,,80.0,,,,,,,17,9,0,left,red
184,,hitch,,,,,80.0,,,,,,,18,9,1,left,black
185,,hitch,,,,,80.0,,,,,,,19,10,0,right,blue
186,,hitch,,,,,80.0,,,,,,,20,10,1,right,black
187,,sort,,,,,82.0,,,,,,,1,1,0,left,red
188,,sort,,,,,82.0,,,,,,,2,2,0,right,blue
189,,sort,,,,,82.0,,,,,,,3,3,0,left,red
190,,sort,,,,,82.0,,,,,,,4,4,0,right,blue
191,,sort,,,,,82.0,,,,,,,5,5,0,left,red
192,,sort,,,,,82.0,,,,,,,6,6,0,right,blue
193,,sort,,,,,82.0,,,,,,,7,7,0,left,red
194,,sort,,,,,82.0,,,,,,,8,8,0,right,blue
195,,sort,,,,,82.0,,,,,,,9,9,0,left,red
196,,sort,,,,,82.0,,,,,,,10,10,0,left,red
197,,sort,,,,,82.0,,,,,,,11,11,0,right,blue
198,,sort,,,,,82.0,,,,,,,12,12,0,right,blue
199,,sort,,,,,82.0,,,,,,,13,13,0,left,red
200,,sort,,,,,82.0,,,,,,,14,14,0,right,blue
201,,sort,,,,,82.0,,,,,,,15,15,0,left,red
202,,double,,,,,82.0,,,,,,,1,1,0,right,blue
203,,double,,,,,82.0,,,,,,,2,2,0,left,red
204,,double,,,,,82.0,,,,,,,3,3,0,right,blue
205,,double,,,,,82.0,,,,,,,4,3,1,right,blue
206,,double,,,,,82.0,,,,,,,5,4,0,left,red
207,,double,,,,,82.0,,,,,,,6,5,0,left,red
208,,double,,,,,82.0,,,,,,,7,6,0,right,blue
209,,double,,,,,82.0,,,,,,,8,7,0,left,red
210,,double,,,,,82.0,,,,,,,9,8,0,right,blue
211,,double,,,,,82.0,,,,,,,10,9,0,left,red
212,,double,,,,,82.0,,,,,,,11,10,0,left,red
213,,double,,,,,82.0,,,,,,,12,11,0,right,blue
214,,double,,,,,82.0,,,,,,,13,12,0,right,blue
215,,double,,,,,82.0,,,,,,,14,13,0,left,red
216,,double,,,,,82.0,,,,,,,15,14,0,right,blue
217,,double,,,,,82.0,,,,,,,16,15,0,left,red
218,,hitch,,,,,82.0,,,,,,,1,1,0,right,blue
219,,hitch,,,,,82.0,,,,,,,2,1,1,right,black
220,,hitch,,,,,82.0,,,,,,,3,2,0,left,red
221,,hitch,,,,,82.0,,,,,,,4,2,1,left,black
222,,hitch,,,,,82.0,,,,,,,5,3,0,right,blue
223,,hitch,,,,,82.0,,,,,,,6,3,1,right,black
224,,hitch,,,,,82.0,,,,,,,7,4,0,left,red
225,,hitch,,,,,82.0,,,,,,,8,4,1,left,black
226,,hitch,,,,,82.0,,,,,,,9,5,0,left,red
227,,hitch,,,,,82.0,,,,,,,10,5,1,left,black
228,,hitch,,,,,82.0,,,,,,,11,6,0,right,blue
229,,hitch,,,,,82.0,,,,,,,12,6,1,right,black
230,,hitch,,,,,82.0,,,,,,,13,7,0,left,red
231,,hitch,,,,,82.0,,,,,,,14,7,1,left,black
232,,sort,,,,,84.0,,,,,,,1,1,0,left,red
233,,sort,,,,,84.0,,,,,,,2,2,0,right,blue
234,,sort,,,,,84.0,,,,,,,3,3,0,left,red
235,,sort,,,,,84.0,,,,,,,4,4,0,right,blue
236,,sort,,,,,84.0,,,,,,,5,5,0,left,red
237,,sort,,,,,84.0,,,,,,,6,6,0,right,blue
238,,sort,,,,,84.0,,,,,,,7,7,0,left,red
239,,sort,,,,,84.0,,,,,,,8,8,0,right,blue
240,,sort,,,,,84.0,,,,,,,9,9,0,left,red
241,,sort,,,,,84.0,,,,,,,10,10,0,right,blue
242,,sort,,,,,84.0,,,,,,,11,11,0,left,blue
243,,sort,,,,,84.0,,,,,,,12,12,0,right,blue
244,,sort,,,,,84.0,,,,,,,13,13,0,left,red
245,,sort,,,,,84.0,,,,,,,14,14,0,right,blue
246,,double,,,,,84.0,,,,,,,1,1,0,left,red
247,,double,,,,,84.0,,,,,,,2,2,0,right,blue
248,,double,,,,,84.0,,,,,,,3,3,0,left,red
249,,double,,,,,84.0,,,,,,,4,4,0,right,blue
250,,double,,,,,84.0,,,,,,,5,5,0,left,red
251,,double,,,,,84.0,,,,,,,6,6,0,right,blue
252,,double,,,,,84.0,,,,,,,7,7,0,left,red
253,,double,,,,,84.0,,,,,,,8,8,0,right,blue
254,,double,,,,,84.0,,,,,,,9,9,0,left,red
255,,double,,,,,84.0,,,,,,,10,10,0,right,blue
256,,hitch,,,,,84.0,,,,,,,1,1,0,left,red
257,,hitch,,,,,84.0,,,,,,,2,1,1,left,black
258,,hitch,,,,,84.0,,,,,,,3,2,0,right,blue
259,,hitch,,,,,84.0,,,,,,,4,2,1,right,black
260,,hitch,,,,,84.0,,,,,,,5,3,0,left,red
261,,hitch,,,,,84.0,,,,,,,6,3,1,left,black
262,,hitch,,,,,84.0,,,,,,,7,4,0,right,blue
263,,hitch,,,,,84.0,,,,,,,8,4,1,right,black
264,,hitch,,,,,84.0,,,,,,,9,5,0,left,red
265,,hitch,,,,,84.0,,,,,,,10,5,1,left,black
266,,hitch,,,,,84.0,,,,,,,11,6,0,right,blue
267,,hitch,,,,,84.0,,,,,,,12,6,1,right,black
268,,hitch,,,,,84.0,,,,,,,13,7,0,left,red
269,,hitch,,,,,84.0,,,,,,,14,7,1,left,black
270,,hitch,,,,,84.0,,,,,,,15,8,0,right,blue
271,,hitch,,,,,84.0,,,,,,,16,8,1,right,black
272,,hitch,,,,,84.0,,,,,,,17,9,0,left,red
273,,hitch,,,,,84.0,,,,,,,18,9,1,left,black
274,,hitch,,,,,84.0,,,,,,,19,10,0,right,blue
275,,hitch,,,,,84.0,,,,,,,20,10,1,right,black
276,,sort,,,,,85.0,,,,,,,1,1,0,left,red
277,,sort,,,,,85.0,,,,,,,2,2,0,right,blue
278,,sort,,,,,85.0,,,,,,,3,3,0,left,red
279,,sort,,,,,85.0,,,,,,,4,4,0,right,blue
280,,sort,,,,,85.0,,,,,,,5,5,0,left,red
281,,sort,,,,,85.0,,,,,,,6,6,0,right,blue
282,,sort,,,,,85.0,,,,,,,7,7,0,left,red
283,,sort,,,,,85.0,,,,,,,8,8,0,right,blue
284,,sort,,,,,85.0,,,,,,,9,9,0,left,red
285,,sort,,,,,85.0,,,,,,,10,10,0,right,blue
286,,sort,,,,,85.0,,,,,,,11,11,0,left,red
287,,sort,,,,,85.0,,,,,,,12,12,0,right,blue
288,,double,,,,,85.0,,,,,,,1,1,0,left,red
289,,double,,,,,85.0,,,,,,,2,2,0,right,blue
290,,double,,,,,85.0,,,,,,,3,3,0,left,red
291,,double,,,,,85.0,,,,,,,4,4,0,right,blue
292,,double,,,,,85.0,,,,,,,5,5,0,left,red
293,,double,,,,,85.0,,,,,,,6,6,0,right,blue
294,,double,,,,,85.0,,,,,,,7,7,0,left,red
295,,double,,,,,85.0,,,,,,,8,8,0,right,blue
296,,double,,,,,85.0,,,,,,,9,9,0,left,red
297,,double,,,,,85.0,,,,,,,10,10,0,right,blue
298,,hitch,,,,,85.0,,,,,,,1,1,0,left,red
299,,hitch,,,,,85.0,,,,,,,2,1,1,left,black
300,,hitch,,,,,85.0,,,,,,,3,2,0,right,blue
301,,hitch,,,,,85.0,,,,,,,4,2,1,right,black
302,,hitch,,,,,85.0,,,,,,,5,3,0,left,red
303,,hitch,,,,,85.0,,,,,,,6,3,1,left,black
304,,hitch,,,,,85.0,,,,,,,7,4,0,right,blue
305,,hitch,,,,,85.0,,,,,,,8,4,1,right,black
306,,hitch,,,,,85.0,,,,,,,9,5,0,left,red
307,,hitch,,,,,85.0,,,,,,,10,5,1,left,black
308,,hitch,,,,,85.0,,,,,,,11,6,0,right,blue
309,,hitch,,,,,85.0,,,,,,,12,6,1,right,black
310,,hitch,,,,,85.0,,,,,,,13,7,0,left,red
311,,hitch,,,,,85.0,,,,,,,14,7,1,left,black
312,,hitch,,,,,85.0,,,,,,,15,8,0,right,blue
313,,hitch,,,,,85.0,,,,,,,16,8,1,right,black
314,,sort,,,,,93.0,,,,,,,1,1,0,left,red
315,,sort,,,,,93.0,,,,,,,2,2,0,right,blue
316,,sort,,,,,93.0,,,,,,,3,2,1,right,blue
317,,sort,,,,,93.0,,,,,,,4,3,0,right,blue
318,,sort,,,,,93.0,,,,,,,5,3,1,right,blue
319,,sort,,,,,93.0,,,,,,,6,4,0,left,blue
320,,sort,,,,,93.0,,,,,,,7,5,0,right,blue
321,,sort,,,,,93.0,,,,,,,8,6,0,left,red
322,,sort,,,,,93.0,,,,,,,9,7,0,right,blue
323,,sort,,,,,93.0,,,,,,,10,8,0,left,red
324,,sort,,,,,93.0,,,,,,,11,9,0,right,blue
325,,sort,,,,,93.0,,,,,,,12,10,0,left,red
326,,sort,,,,,93.0,,,,,,,13,11,0,right,blue
327,,sort,,,,,93.0,,,,,,,14,12,0,left,red
328,,sort,,,,,93.0,,,,,,,15,13,0,right,blue
329,,double,,,,,93.0,,,,,,,1,1,0,right,blue
330,,double,,,,,93.0,,,,,,,2,1,1,right,blue
331,,double,,,,,93.0,,,,,,,3,2,0,left,red
332,,double,,,,,93.0,,,,,,,4,3,0,right,blue
333,,double,,,,,93.0,,,,,,,5,3,1,right,blue
334,,double,,,,,93.0,,,,,,,6,4,0,left,red
335,,double,,,,,93.0,,,,,,,7,5,0,right,blue
336,,double,,,,,93.0,,,,,,,8,5,1,right,blue
337,,double,,,,,93.0,,,,,,,9,6,0,left,red
338,,double,,,,,93.0,,,,,,,10,7,0,right,blue
339,,double,,,,,93.0,,,,,,,11,7,1,right,blue
340,,double,,,,,93.0,,,,,,,12,8,0,left,red
341,,double,,,,,93.0,,,,,,,13,9,0,right,blue
342,,double,,,,,93.0,,,,,,,14,9,1,right,blue
343,,double,,,,,93.0,,,,,,,15,10,0,left,red
344,,double,,,,,93.0,,,,,,,16,11,0,right,blue
345,,double,,,,,93.0,,,,,,,17,11,1,right,blue
346,,double,,,,,93.0,,,,,,,18,12,0,left,red
347,,double,,,,,93.0,,,,,,,19,13,0,right,blue
348,,double,,,,,93.0,,,,,,,20,13,1,right,blue
349,,hitch,,,,,93.0,,,,,,,1,1,0,left,red
350,,hitch,,,,,93.0,,,,,,,2,1,1,left,black
351,,hitch,,,,,93.0,,,,,,,3,2,0,right,blue
352,,hitch,,,,,93.0,,,,,,,4,2,1,right,black
353,,hitch,,,,,93.0,,,,,,,5,3,0,left,red
354,,hitch,,,,,93.0,,,,,,,6,3,1,left,black
355,,hitch,,,,,93.0,,,,,,,7,4,0,right,blue
356,,hitch,,,,,93.0,,,,,,,8,4,1,right,black
357,,hitch,,,,,93.0,,,,,,,9,5,0,left,red
358,,hitch,,,,,93.0,,,,,,,10,5,1,left,black
359,,hitch,,,,,93.0,,,,,,,11,6,0,right,blue
360,,hitch,,,,,93.0,,,,,,,12,6,1,right,black
361,,hitch,,,,,93.0,,,,,,,13,7,0,left,red
362,,hitch,,,,,93.0,,,,,,,14,7,1,left,black
363,,hitch,,,,,93.0,,,,,,,15,8,0,right,blue
364,,hitch,,,,,93.0,,,,,,,16,8,1,right,black
365,,hitch,,,,,93.0,,,,,,,17,9,0,left,red
366,,hitch,,,,,93.0,,,,,,,18,9,1,left,black
367,,hitch,,,,,93.0,,,,,,,19,10,0,right,blue
368,,hitch,,,,,93.0,,,,,,,20,10,1,right,black
369,,hitch,,,,,93.0,,,,,,,21,11,0,left,red
370,,hitch,,,,,93.0,,,,,,,22,11,1,left,black
371,,hitch,,,,,93.0,,,,,,,23,12,0,left,red
372,,hitch,,,,,93.0,,,,,,,24,12,1,left,black
373,,sort,,,,,94.0,,,,,,,1,1,0,left,red
374,,sort,,,,,94.0,,,,,,,2,2,0,right,blue
375,,sort,,,,,94.0,,,,,,,3,3,0,left,red
376,,sort,,,,,94.0,,,,,,,4,4,0,right,blue
377,,sort,,,,,94.0,,,,,,,5,5,0,left,red
378,,sort,,,,,94.0,,,,,,,6,6,0,right,blue
379,,sort,,,,,94.0,,,,,,,7,7,0,left,red
380,,sort,,,,,94.0,,,,,,,8,8,0,right,blue
381,,sort,,,,,94.0,,,,,,,9,9,0,left,red
382,,sort,,,,,94.0,,,,,,,10,10,0,right,blue
383,,sort,,,,,94.0,,,,,,,11,11,0,left,red
384,,sort,,,,,94.0,,,,,,,12,12,0,right,blue
385,,double,,,,,94.0,,,,,,,1,1,0,left,red
386,,double,,,,,94.0,,,,,,,2,2,0,right,blue
387,,double,,,,,94.0,,,,,,,3,3,0,left,red
388,,double,,,,,94.0,,,,,,,4,4,0,right,blue
389,,double,,,,,94.0,,,,,,,5,4,1,right,blue
390,,double,,,,,94.0,,,,,,,6,5,0,left,red
391,,double,,,,,94.0,,,,,,,7,6,0,right,blue
392,,double,,,,,94.0,,,,,,,8,6,1,right,blue
393,,double,,,,,94.0,,,,,,,9,7,0,right,blue
394,,double,,,,,94.0,,,,,,,10,7,1,right,blue
395,,double,,,,,94.0,,,,,,,11,8,0,left,red
396,,double,,,,,94.0,,,,,,,12,9,0,right,blue
397,,double,,,,,94.0,,,,,,,13,9,1,right,blue
398,,double,,,,,94.0,,,,,,,14,10,0,left,red
399,,double,,,,,94.0,,,,,,,15,11,0,left,red
400,,double,,,,,94.0,,,,,,,16,12,0,right,blue
401,,double,,,,,94.0,,,,,,,17,12,1,right,blue
402,,hitch,,,,,94.0,,,,,,,1,1,0,left,red
403,,hitch,,,,,94.0,,,,,,,2,1,1,left,black
404,,hitch,,,,,94.0,,,,,,,3,2,0,right,blue
405,,hitch,,,,,94.0,,,,,,,4,2,1,right,black
406,,hitch,,,,,94.0,,,,,,,5,3,0,left,red
407,,hitch,,,,,94.0,,,,,,,6,3,1,left,black
408,,hitch,,,,,94.0,,,,,,,7,4,0,right,blue
409,,hitch,,,,,94.0,,,,,,,8,4,1,right,black
410,,hitch,,,,,94.0,,,,,,,9,5,0,left,red
411,,hitch,,,,,94.0,,,,,,,10,5,1,left,black
412,,hitch,,,,,94.0,,,,,,,11,6,0,right,blue
413,,hitch,,,,,94.0,,,,,,,12,6,1,right,black
414,,hitch,,,,,94.0,,,,,,,13,7,0,left,red
415,,hitch,,,,,94.0,,,,,,,14,7,1,left,black
416,,hitch,,,,,94.0,,,,,,,15,8,0,right,blue
417,,hitch,,,,,94.0,,,,,,,16,8,1,right,black
418,,hitch,,,,,94.0,,,,,,,17,9,0,left,red
419,,hitch,,,,,94.0,,,,,,,18,9,1,left,black
420,,hitch,,,,,94.0,,,,,,,19,10,0,right,blue
421,,hitch,,,,,94.0,,,,,,,20,10,1,right,black
422,,hitch,,,,,94.0,,,,,,,21,11,0,right,blue
423,,sort,,,,,97.0,,,,,,,1,1,0,left,red
424,,sort,,,,,97.0,,,,,,,2,2,0,right,blue
425,,sort,,,,,97.0,,,,,,,3,3,0,left,red
426,,sort,,,,,97.0,,,,,,,4,4,0,right,blue
427,,sort,,,,,97.0,,,,,,,5,5,0,left,red
428,,sort,,,,,97.0,,,,,,,6,6,0,right,blue
429,,sort,,,,,97.0,,,,,,,7,7,0,left,red
430,,sort,,,,,97.0,,,,,,,8,8,0,right,blue
431,,sort,,,,,97.0,,,,,,,9,9,0,left,blue
432,,sort,,,,,97.0,,,,,,,10,10,0,right,blue
433,,sort,,,,,97.0,,,,,,,11,11,0,left,red
434,,sort,,,,,97.0,,,,,,,12,12,0,right,blue
435,,double,,,,,97.0,,,,,,,1,1,0,left,red
436,,double,,,,,97.0,,,,,,,2,2,0,right,blue
437,,double,,,,,97.0,,,,,,,3,2,1,right,blue
438,,double,,,,,97.0,,,,,,,4,3,0,left,red
439,,double,,,,,97.0,,,,,,,5,4,0,right,blue
440,,double,,,,,97.0,,,,,,,6,4,1,right,blue
441,,double,,,,,97.0,,,,,,,7,5,0,left,red
442,,double,,,,,97.0,,,,,,,8,6,0,right,blue
443,,double,,,,,97.0,,,,,,,9,6,1,right,blue
444,,double,,,,,97.0,,,,,,,10,7,0,left,red
445,,double,,,,,97.0,,,,,,,11,8,0,right,blue
446,,double,,,,,97.0,,,,,,,12,8,1,right,blue
447,,double,,,,,97.0,,,,,,,13,9,0,left,red
