ID,DOB,AGE,GENDER,GIVE-N,GIVEONE,GIVETWO,GIVETHREE,GIVEFOUR,GIVEFIVE,GIVESIX,GIVESEVEN,GIVEEIGHT,GIVENINE,GIVETEN,COUNTBEAR,COUNTBEARSUCCESS,COUNTSELF,ALGO1,ALGO1YN,ALGO1OUTPUT,ALGO2,ALGO2YN,ALGO2OUTPUT,ALGO3,ALGO3YN,ALGO3OUTPUT,,,
19.00,6/5/15,3.921,FEMALE,Y,1,1,1,0,0,0,0,0,0,0,Y,1,Y,sort,Y,"/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/",double,N,"G/, /RR, /mR, GGG/, /mR, mG/",hitchhiker,N,"R/, /mB, mRR/G, mRG/, /mB, /mB",7,2,0
21.00,6/8/15,3.912,MALE,Y,1,1,1,1,1,0,0,0,0,0,Y,1,Y,hitchhiker,Y,"/RB, GB/",sort,Y,"R/, /G",double,N,,2,2,
22.00,3/25/14,5.117,MALE,Y,1,1,0,0,0,0,0,0,0,0,Y,1,Y,sort,Y,"R/, /G, R/, /G, R/, /G, R/, /G, R/, /G",hitchhiker,Y,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB, RB/ ",double,Y,"R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",10,9,10
25.00,1/13/14,5.311,MALE,Y,1,0,0,0,0,0,0,0,0,0,Y,1,Y,sort,Y,"/G, R/, /G, R/, R/, /G, R/, /G, R/, /G, RR/, /GG, /G, /G, /G, /G, /G, /G ",double,N,"/GG, /GG, /GG, /GG",hitchhiker,N,mRGB/RGB,16,4,0
26.00,3/18/14,5.136,MALE,Y,1,1,1,1,1,0,0,0,0,0,N,0,N,hitchhiker,N,"GB/, RG/, RG/, /RG, /R, BB/, GB/, /RG, GB/, RR/, RG/, /BB, /GB, /RB, B/",sort,Y,"R/, /G, R/, /G, R/, /G, R/, /G, R/, R/, /GG, /GG, /Rc, R/, /GG, RRGc/, /G",double,Y,"R/, R/, /GG, R/, /GG, R/, /GG, RR/, /GG, R/, /GG, R/, /GG, RR/, R/, /GG",3,12,14
27.00,4/4/14,5.090,FEMALE,Y,1,1,1,1,1,1,1,1,0,0,Y,1,Y,sort,Y,"R/, /GRc, R/, /GRc, R/, /G, R/, /G, R/, /G ",double,Y,"G/ /RR, G/, /RR, G/, /RR, G/, /RR, G/, /RR",hitchhiker,Y,"RB/, /GB, RB/, /GB, RB/, /GBB, RB/, /GB",10,10,7
28.00,4/23/15,4.038,FEMALE,Y,1,1,1,0,0,0,0,0,0,0,N,0,N,sort,N,"R/, R/",double,N,"/R, G/, /R, G/",hitchhiker,N,"RB/, B/",1,0,1
29.00,2/6/16,3.247,FEMALE,Y,1,1,0,0,0,0,0,0,0,0,Y,1,N,double,Y,"mR/GG, RR/, mRG/, /G, /G, /GG, mRR/G, mR/G, mR/G,  mR/G, mR/G, /R, /G, mR/",hitchhiker,N,"/GB, GB/, mB/R, /BB, /G, /G, /B, /G, /B, BB/",sort,Y,"R/, /G, /Rc, R/, /G, R/, /G, /G, /R, /G",3,1,8
30.00,6/7/14,4.914,FEMALE,Y,1,1,1,1,0,0,0,0,0,0,Y,1,Y,sort,Y,"/R, G/, Rcb/, G/, /R, G/, /R, G/, /R",double,N,"R/, /G, R/, /G, /G, mRR/GG",hitchhiker,Y,"RB/, /GB, RB/, /GB, /GB, RB/, /GB",8,3,7
32.00,3/23/15,4.123,MALE,Y,1,1,0,0,0,0,0,0,0,0,Y,1,N,sort,Y,"R/, /G, R/, RRR/, /G, RR/, /G, R/, /G, R/, /G, R/, /G, R/, /G, R/",double,Y,"mGGG/RR, mG/RR, mG/RR, mG/RR, mRc/Gc, mG/R",hitchhiker,N,"/GB, R/, mGRR/, B/, /B, R/, /GG, R/",14,3,1
34.00,9/9/15,3.658,FEMALE,Y,1,1,0,0,0,0,0,0,0,0,N*,0,N,hitchhiker,N,"/RG, mRGB/, mRRGB/",double,N,"mR/G, mR/G, R/, /GR, /G, RR/, /GG ",sort,N,"G/, G/, /RR, mGG/R, /R, GGG/, /Gc, G/",0,4,4
39.00,,,FEMALE,Y,1,1,1,1,0,0,0,0,0,0,Y,1,N,sort,Y,"R/, /G, R/, /GG, R/, /GG",double,Y,"R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, GGc/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG",hitchhiker,Y,"RB/, /GB, /GB, RB/, /GB, RB/, /GB, RB/, RB/, /GB, RB",,,
41.00,,,FEMALE,Y,1,1,0,0,0,0,0,0,0,0,Y,1,Y,sort,Y,"/G, R/, /G, R/, /G, R/, /GRc, R/ Gc/, /G, R/, Gc/, /G",double,Y,"R/, /G, R/, /G, R/, /G",hitchhiker,Y,"RB/, /GB, /GB, /RBc, RB/, GB",,,
,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
