ID,DOB,AGE,GENDER,SORT_DEMO,SORT_OUTPUT,DOUBLE_DEMO,DOUBLE_OUTPUT,HITCH_DEMO,HITCH_OUTPUT
18.00,10/5/14,4.586,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, RR/, /GG, RR/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, R/, /G","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GRBc/, /G, mR/G, R/, /GB"
19.00,6/5/15,3.921,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","/R, G/, G/b, /R, G/, /R, G/, /R, /RR, m/RRRGc, G/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, /mR, GGG/, /mR, mG/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","R/, /mB, mRR/G, mRG/, /mB, /mB"
21.00,6/8/15,3.912,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G","/G, RR/, /G, RR/, /G, RR/, /G, RR/","RR/, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/RB, GB/"
22.00,3/25/14,5.117,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB, RB/ "
25.00,1/13/14,5.311,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","/G, R/, /G, R/, R/, /G, R/, /G, R/, /G, RR/, /GG, /G, /G, /G, /G, /G, /G ","R/, /GG, R/, /GG, R/, /GG, R/, /GG","/GG, /GG, /GG, /GG","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ",mRGB/RGB
26.00,3/18/14,5.136,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, /G, R/, /G, R/, /G, R/, R/, /GG, /GG, /Rc, R/, /GG, RRGc/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, R/, /GG, R/, /GG, R/, /GG, RR/, /GG, R/, /GG, R/, /GG, RR/, R/, /GG","GB/, /RB, GB/, /RB, GB/, /RB, GB/, ","GB/, RG/, RG/, /RG, /R, BB/, GB/, /RG, GB/, RR/, RG/, /BB, /GB, /RB, B/"
27.00,4/4/14,5.090,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /GRc, R/, /GRc, R/, /G, R/, /G, R/, /G ","G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR, G/, /RR","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GBB, RB/, /GB"
28.00,4/23/15,4.038,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, R/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","/R, G/, /R, G/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, B/"
29.00,2/6/16,3.247,FEMALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /Rc, R/, /G, R/, /G, /G, /R, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","mR/GG, RR/, mRG/, /G, /G, /GG, mRR/G, mR/G, mR/G,  mR/G, mR/G, /R, /G, mR/","GB/, /RB, GB/, /RB, GB/, /RB, GB/, "
30.00,6/7/14,4.914,FEMALE,"/R, G/, /R, G/, /R, G/, /R, G/","/R, G/, Rcb/, G/, /R, G/, /R, G/, /R","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, /G, /G, mRR/GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, /GB, RB/, /GB"
32.00,3/23/15,4.123,MALE,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, R/, RRR/, /G, RR/, /G, R/, /G, R/, /G, R/, /G, R/, /G, R/","G/, /RR, G/, /RR, G/, /RR, G/, /RR","mGGG/RR, mG/RR, mG/RR, mG/RR, mRc/Gc, mG/R","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","/GB, R/, mGRR/, B/, /B, R/, /GG, R/"
34.00,9/9/15,3.658,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, RRR/, Rm/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","RR/, R/, RR/, R/, /G, RR/, RR/, /GG, /GGG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RBG/, RGBBB/ "
36.00,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/, /GG, R/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB,  RB/, /GB, RB/, /GB"
37.00,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R",,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",
38.00,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","GG/, /R, GG/, /R, GG/, /R, /R, G/, G/, /R, G/","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB, RB/, RBRB/, RBRBRB/, /GBGBGBGB"
39.00,,,,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0
41.00,,,,"G/, /R, G/, /R, G/, /R, G/, /R",0,"R/, /GG, R/, /GG, R/, /GG, R/, /GG",0,"RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB",0
42.00,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, RR/, /G, R/, /G, /G, R/, /GG","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, R/, RR/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB"
43.00,,,FEMALE,"G/, /R, G/, /R, G/, /R, G/, /R","/G, R/, /G, R/, /G, /Rc, R/, GGc/, /GG, R/","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /GG, R/, /GG, R/, /GG, Rb/, R/, /GG, R/, /GG","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GBBb, /GB, RB/, /GB, RB/, /GB"
45.00,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R","R/, /G, R/, /G, R/, /G, R/, /G, R/, /G","R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, /G, RR/, RRGc/ , /G, R/, R/, R/, /G, /G, /G, /G, /G, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","RB/, /GB, RB/, /GB, RB/, /GB"
46.00,,,MALE,"G/, /R, G/, /R, G/, /R, G/, /R",N/A,"R/, /GG, R/, /GG, R/, /GG, R/, /GG","R/, RR/, /Rc, R/, R/, /G, /G","RB/, /GB, RB/, /GB, RB/, /GB, RB/, /GB","B/, G/, /R, /G, RR/"
